team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Egypt National Team,Egypt,2021,Egypt,7,2,5,0,3,2,1,3,0,3,1,0,1,1.71,3,1.2,2,0,0,3,4,2,2,6,4,2,3,1,1,1,2,0,158,60,450,310,180,450,5,1,4,1,1,0,4,0,4,2,1,1,43,19,24,11,5,6,53,58,51,78,23,55,29,10,19,49,13,36,138,44,94,1,1,0,2,1,1,-1,0,-1,1,1,0,4,0,4,2,1,1,1,1.5,0.8,0.86,2,0.4,0.57,1.5,0.2,0.29,0.5,0.2,0.43,1,0.2,0.14,0.5,0,0.29,0.5,0.2,4,1,1,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,3,6,6,7,7,7,0,1,1,2,2,2,3,5,5,5,5,5,57,14,14,0,0,0,100,50,50,0,0,0,40,0,0,0,0,0,43,86,86,100,100,100,0,50,50,100,100,100,60,100,100,100,100,100,3,0,0,2,0,0,1,0,0,43,0,0,100,0,0,20,0,0,43,100,20,46,71,50,80,14,50,0,57,0,80,29,50,20,5,1,4,71,50,80,6,1,5,86,50,100,0,0,0,0,0,0,14,50,0,57,0,80,29,50,20,6.14,9.50,4.80,1.57,2.5,1.20,100,86,71,28,28,28,28,28,1.30,1.50,1.22,1.44,1.21,1.54,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,43,0,60,14,0,20,28
Tunisia National Team,Tunisia,2021,Tunisia,5,2,3,0,2,1,1,0,0,0,3,1,2,1.2,1.5,1,3,0,0,12,5,3,2,8,5,3,4,1,1,2,3,-1,90,45,273,150,180,134,2,1,1,0,0,0,3,1,2,2,1,1,33,11,22,13,5,8,57,55,59,59,22,37,24,13,11,35,9,26,83,33,50,2,2,0,1,0,1,1,2,-1,1,1,0,3,1,2,1,0,1,1.2,2,0.67,1.6,2.5,1,1,2,0.33,0.6,0.5,0.67,0.6,1,0.33,0.4,1,0,0.2,0,0.33,5,1,1,1,0,0,2,1,1,1,0,0,3,0,0,0,0,0,0,4,4,4,5,5,0,1,1,1,2,2,0,3,3,3,3,3,100,20,20,20,0,0,100,50,50,50,0,0,100,0,0,0,0,0,0,80,80,80,100,100,0,50,50,50,100,100,0,100,100,100,100,100,2,1,0,1,1,0,1,0,0,40,20,0,50,50,0,33,0,0,40,50,33,59,40,50,33,0,0,0,60,50,67,40,50,33,4,2,2,80,100,67,4,1,3,80,50,100,0,0,0,0,0,0,20,50,0,60,50,67,20,0,33,6.60,5.50,7.33,2.6,2.5,2.67,80,80,80,60,60,40,20,20,1.38,1.39,1.38,1.16,0.98,1.28,40,2,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,60,50,67,20
Mauritania National Team,Mauritania,2021,Mauritania,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,24,0,7,-7,7,1,6,0,0,1,6,-1,-6,0,0,0,39,90,30,0,0,0,0,0,0,3,1,2,0,0,0,11,5,6,5,2,3,47,61,40,40,21,19,8,4,4,32,17,15,43,15,28,0,0,0,4,1,3,-4,-1,-3,0,0,0,0,0,0,3,1,2,0,0,0,2.33,1,3,0,0,0,2.33,1,3,1.33,1,1.5,0,0,0,1.33,1,1.5,3,2,1,1,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,1,2,2,3,3,0,1,1,1,1,1,0,0,1,1,2,2,100,67,33,33,0,0,100,0,0,0,0,0,100,100,50,50,0,0,0,33,67,67,100,100,0,100,100,100,100,100,0,0,50,50,100,100,3,1,0,1,0,0,2,1,0,100,33,0,100,0,0,100,50,0,0,0,0,29,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,3.67,5.00,3.00,1.67,2,1.50,100,67,67,0,0,0,0,0,1.26,1.99,0.89,1.52,0.87,1.84,67,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,100,100,100,0
Sierra Leone National Team,Sierra Leone,2021,Sierra Leone,3,1,2,0,0,0,0,2,0,2,1,1,0,0.67,0,1,3,0,0,18,2,3,-1,5,1,4,0,2,1,2,-1,0,134,0,90,90,90,90,1,0,1,1,0,1,2,1,1,0,0,0,9,5,4,9,6,3,40,47,36,24,6,18,11,3,8,13,3,10,35,24,11,0,0,0,2,1,1,-2,-1,-1,0,0,0,1,0,1,2,1,1,0.33,0,0.5,1.67,1,2,0.67,0,1,1,1,1,0.67,1,0.5,0,0,0,0.67,1,0.5,2,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,2,2,2,3,3,0,1,1,1,1,1,1,1,1,1,2,2,67,33,33,33,0,0,100,0,0,0,0,0,50,50,50,50,0,0,33,67,67,67,100,100,0,100,100,100,100,100,50,50,50,50,100,100,2,0,0,1,0,0,1,0,0,67,0,0,100,0,0,50,0,0,0,0,0,0,33,0,50,33,0,50,67,100,50,0,0,0,1,0,1,33,0,50,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,33,0,50,67,100,50,3.00,5.00,2.00,3,6,1.50,100,100,100,100,67,67,0,0,0.92,0.80,0.99,2.07,2.04,2.08,33,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,67,0,100,33,100,0,0
Mali National Team,Mali,2021,Mali,4,2,2,0,2,1,1,2,1,1,0,0,0,2,2,2,1,0,0,9,4,1,3,5,2,3,2,2,0,1,2,1,90,90,90,360,0,180,3,2,1,1,0,1,1,1,0,3,1,2,23,10,13,9,2,7,59,62,56,62,33,29,16,8,8,46,25,21,67,33,34,1,1,0,0,0,0,1,1,0,1,1,0,3,1,2,0,0,0,1.5,2,1,1.25,1,1.5,1,1,1,0.25,0,0.5,0.25,0.5,0,0.25,0.5,0,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,2,4,4,4,4,1,1,2,2,2,2,0,1,2,2,2,2,75,50,0,0,0,0,50,50,0,0,0,0,100,50,0,0,0,0,25,50,100,100,100,100,50,50,100,100,100,100,0,50,100,100,100,100,1,0,0,1,0,0,0,0,0,25,0,0,50,0,0,0,0,0,50,50,50,50,75,100,50,25,0,50,25,50,0,75,50,100,4,2,2,100,100,100,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,75,50,100,0,0,0,5.75,5.00,6.50,2.25,1,3.50,100,50,25,25,25,0,0,0,1.59,1.70,1.47,0.82,0.93,0.71,25,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,50,50,50,0,0,0,0
Malawi National Team,Malawi,2021,Malawi,4,2,2,0,1,1,0,1,1,0,2,0,2,1,2,0,3,0,0,13,3,4,-1,7,3,4,2,1,1,3,1,-2,120,90,180,90,180,60,1,1,0,2,1,1,2,1,1,1,0,1,12,6,6,9,4,5,30,29,30,35,19,16,13,3,10,22,16,6,62,30,32,2,1,1,3,1,2,-1,0,-1,0,0,0,3,2,1,1,0,1,0.75,1,0.5,1.75,1.5,2,0.75,1,0.5,1,0.5,1.5,1.25,1,1.5,0.5,0.5,0.5,0.75,0.5,1,3,2,2,0,0,0,1,1,1,0,0,0,2,1,1,0,0,0,1,2,2,4,4,4,1,1,1,2,2,2,0,1,1,2,2,2,75,50,50,0,0,0,50,50,50,0,0,0,100,50,50,0,0,0,25,50,50,100,100,100,50,50,50,100,100,100,0,50,50,100,100,100,3,2,0,1,1,0,2,1,0,75,50,0,50,50,0,100,50,0,25,50,0,42,25,50,0,50,50,50,50,50,50,25,0,50,1,1,0,25,50,0,2,1,1,50,50,50,2,1,1,50,50,50,0,0,0,75,100,50,25,0,50,3.00,3.00,3.00,2.25,2,2.50,100,75,75,50,25,25,0,0,0.95,0.91,1.00,1.84,1.46,2.21,50,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,25,50,0,50,0,100,0
Equatorial Guinea National Team,Equatorial Guinea,2021,Equatorial Guinea,5,1,4,0,2,0,2,1,0,1,2,1,1,1.4,0,1.75,2,0,0,10,3,4,-1,7,1,6,0,3,1,3,-1,0,150,0,120,113,90,120,3,0,3,1,0,1,2,1,1,2,0,2,13,2,11,13,1,12,45,44,46,59,13,46,20,3,17,39,10,29,97,11,86,1,0,1,2,1,1,-1,-1,0,1,0,1,2,0,2,2,1,1,1,0,1.25,1.4,1,1.5,0.6,0,0.75,0.8,1,0.75,0.6,1,0.5,0.2,0,0.25,0.4,1,0.25,4,1,1,1,0,0,1,0,0,0,0,0,3,1,1,1,0,0,1,4,4,4,5,5,0,1,1,1,1,1,1,3,3,3,4,4,80,20,20,20,0,0,100,0,0,0,0,0,75,25,25,25,0,0,20,80,80,80,100,100,0,100,100,100,100,100,25,75,75,75,100,100,3,0,0,1,0,0,2,0,0,60,0,0,100,0,0,50,0,0,40,0,50,-63,60,0,75,20,0,25,40,100,25,40,0,50,3,0,3,60,0,75,4,1,3,80,100,75,0,0,0,0,0,0,20,0,25,40,0,50,40,100,25,2.60,2.00,2.75,2.6,1,3.00,60,60,40,40,20,20,20,20,1.26,1.27,1.26,1.39,1.41,1.39,20,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,20,0,25,40,100,25,0
Zimbabwe National Team,Zimbabwe,2021,Zimbabwe,3,1,2,0,1,1,0,0,0,0,2,0,2,1,3,0,4,0,0,17,3,4,-1,7,3,4,2,1,1,3,1,-2,90,45,180,68,90,60,0,0,0,2,1,1,1,0,1,2,1,1,10,1,9,8,3,5,47,37,52,38,13,25,13,5,8,25,8,17,42,16,26,3,2,1,1,0,1,2,2,0,1,1,0,2,0,2,0,0,0,1.67,3,1,2.33,3,2,1,2,0.5,1.33,1,1.5,1.33,2,1,1,2,0.5,0.33,0,0.5,3,2,2,0,0,0,1,1,1,0,0,0,2,1,1,0,0,0,0,1,1,3,3,3,0,0,0,1,1,1,0,1,1,2,2,2,100,67,67,0,0,0,100,100,100,0,0,0,100,50,50,0,0,0,0,33,33,100,100,100,0,0,0,100,100,100,0,50,50,100,100,100,2,2,0,1,1,0,1,1,0,67,67,0,100,100,0,50,50,0,33,100,0,63,0,0,0,67,100,50,33,0,50,67,100,50,2,1,1,67,100,50,1,0,1,33,0,50,1,0,1,33,0,50,33,100,0,67,0,100,0,0,0,3.33,1.00,4.50,2.67,3,2.50,100,67,33,0,0,0,0,0,1.36,1.33,1.38,1.50,1.65,1.43,67,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,67,0,100,0
Gambia National Team,Gambia,2021,Gambia,5,3,2,0,3,1,2,1,1,0,1,1,0,2,1.33,3,2,0,0,4,4,3,1,7,5,2,2,2,3,0,-1,2,113,134,90,150,90,0,3,1,2,1,1,0,1,1,0,3,1,2,9,3,6,13,7,6,38,34,44,40,19,21,12,6,6,28,13,15,67,34,33,1,0,1,0,0,0,1,0,1,1,0,1,4,3,1,0,0,0,1.4,1,2,1.4,1.67,1,0.8,0.67,1,0.6,1,0,0.2,0,0.5,0.2,0,0.5,0,0,0,5,2,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,3,5,5,5,5,0,1,3,3,3,3,0,2,2,2,2,2,100,40,0,0,0,0,100,67,0,0,0,0,100,0,0,0,0,0,0,60,100,100,100,100,0,33,100,100,100,100,0,100,100,100,100,100,1,0,0,0,0,0,1,0,0,20,0,0,0,0,0,50,0,0,60,33,100,-42,60,33,100,20,33,0,20,33,0,60,33,100,5,3,2,100,100,100,4,3,1,80,100,50,0,0,0,0,0,0,20,0,50,80,100,50,0,0,0,1.80,1.00,3.00,2.6,2.33,3.00,100,60,40,20,20,20,0,0,0.81,0.67,1.02,1.92,1.94,1.91,40,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,20,33,0,20,33,0,0
Sudan National Team,Sudan,2021,Sudan,3,1,2,0,0,0,0,1,1,0,2,0,2,0.33,1,0,4,0,0,21,1,4,-3,5,0,5,0,1,0,4,0,-3,273,0,180,68,0,45,1,1,0,1,0,1,2,1,1,0,0,0,8,3,5,4,2,2,40,41,40,26,11,15,10,5,5,16,6,10,41,18,23,0,0,0,3,0,3,-3,0,-3,0,0,0,1,1,0,2,0,2,0.33,1,0,1.67,0,2.5,0.33,0,0.5,1.33,0,2,1,0,1.5,0,0,0,1,0,1.5,2,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,2,2,2,3,3,1,1,1,1,1,1,0,1,1,1,2,2,67,33,33,33,0,0,0,0,0,0,0,0,100,50,50,50,0,0,33,67,67,67,100,100,100,100,100,100,100,100,0,50,50,50,100,100,2,1,0,0,0,0,2,1,0,67,33,0,0,0,0,100,50,0,0,0,0,0,33,100,0,33,0,50,67,100,50,0,0,0,1,1,0,33,100,0,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,33,100,0,67,0,100,2.67,3.00,2.50,1.33,2,1.00,33,33,33,33,33,33,33,33,0.99,1.32,0.83,1.61,1.19,1.82,33,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,33,100,0,67,0,100,33
Cape Verde Islands National Team,Cape Verde Islands,2021,Cape Verde,4,2,2,0,1,0,1,1,1,0,2,1,1,1,0.5,1.5,2,0,0,15,2,4,-2,6,3,3,1,1,2,2,-1,-1,180,180,180,90,90,90,1,0,1,1,1,0,2,1,1,1,0,1,21,14,7,7,2,5,46,46,47,32,14,18,9,2,7,23,12,11,51,29,22,1,0,1,2,2,0,-1,-2,1,1,0,1,1,0,1,2,2,0,1,0,2,1.5,1.5,1.5,0.5,0.5,0.5,1,1,1,0.75,1,0.5,0.25,0,0.5,0.5,1,0,4,2,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,2,4,4,4,4,0,1,2,2,2,2,0,1,2,2,2,2,100,50,0,0,0,0,100,50,0,0,0,0,100,50,0,0,0,0,0,50,100,100,100,100,0,50,100,100,100,100,0,50,100,100,100,100,3,0,0,2,0,0,1,0,0,75,0,0,100,0,0,50,0,0,25,0,50,0,25,0,50,25,50,0,50,50,50,25,0,50,2,0,2,50,0,100,3,2,1,75,100,50,0,0,0,0,0,0,25,0,50,25,0,50,50,100,0,5.25,7.00,3.50,1.75,1,2.50,100,75,75,75,50,25,25,25,0.89,0.68,1.12,1.40,1.50,1.31,25,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,1,25,50,0,50,50,50,25
Guinea-Bissau National Team,Guinea-Bissau,2021,Guinea-Bissau,3,2,1,0,0,0,0,1,0,1,2,2,0,0.33,0,1,3,0,0,22,0,3,-3,3,3,0,0,0,3,0,-3,0,0,0,0,90,60,0,1,0,1,0,0,0,3,2,1,0,0,0,9,6,3,4,3,1,48,43,59,30,20,10,11,7,4,19,13,6,41,29,12,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,1,1.5,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,0,1,2,2,2,2,1,1,1,1,1,1,67,33,0,0,0,0,100,50,0,0,0,0,0,0,0,0,0,0,33,67,100,100,100,100,0,50,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,33,0,100,0,0,0,100,100,100,0,0,0,3,2,1,100,100,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.00,3.00,3.00,1.33,1.5,1.00,67,67,67,33,33,0,0,0,1.09,1.05,1.19,1.68,1.86,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,33,0,100,67,100,0,0
Ethiopia National Team,Ethiopia,2021,Ethiopia,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,23,2,6,-4,8,1,7,0,2,1,5,-1,-3,134,0,90,45,90,36,0,0,0,2,0,2,1,1,0,1,0,1,8,1,7,6,3,3,48,44,50,31,7,24,11,2,9,20,5,15,34,11,23,1,0,1,3,1,2,-2,-1,-1,0,0,0,1,0,1,2,1,1,0.33,0,0.5,2.67,1,3.5,0.67,0,1,2,1,2.5,1.33,1,1.5,0.33,0,0.5,1,1,1,3,2,1,1,1,0,1,0,0,0,0,0,2,2,1,1,1,0,0,1,2,2,2,3,0,1,1,1,1,1,0,0,1,1,1,2,100,67,33,33,33,0,100,0,0,0,0,0,100,100,50,50,50,0,0,33,67,67,67,100,0,100,100,100,100,100,0,0,50,50,50,100,3,1,0,1,0,0,2,1,0,100,33,0,100,0,0,100,50,0,0,0,0,-25,0,0,0,67,0,100,33,100,0,33,0,50,0,0,0,0,0,0,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,33,0,50,67,100,50,2.67,1.00,3.50,2,3,1.50,100,67,33,33,33,0,0,0,1.08,0.73,1.25,1.71,1.75,1.69,67,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,1,0,0,33,0,50,67,100,50,0
Gabon National Team,Gabon,2021,Gabon,4,2,2,0,1,0,1,3,2,1,0,0,0,1.5,1,2,2,0,0,11,5,4,1,9,6,3,3,2,3,1,0,1,72,60,90,90,60,180,1,0,1,3,2,1,0,0,0,2,1,1,18,7,11,14,5,9,44,43,45,57,28,29,20,10,10,37,18,19,105,52,53,2,1,1,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,2.25,3,1.5,1.25,1.5,1,1,1.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,4,3,1,1,0,0,2,2,1,1,0,0,2,1,0,0,0,0,0,1,3,3,4,4,0,0,1,1,2,2,0,1,2,2,2,2,100,75,25,25,0,0,100,100,50,50,0,0,100,50,0,0,0,0,0,25,75,75,100,100,0,0,50,50,100,100,0,50,100,100,100,100,4,0,0,2,0,0,2,0,0,100,0,0,100,0,0,100,0,0,25,0,50,-15,25,0,50,75,100,50,0,0,0,50,50,50,2,1,1,50,50,50,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,0,0,0,50,50,50,4.50,3.50,5.50,3.5,2.5,4.50,75,50,25,25,25,25,25,25,1.59,1.41,1.78,1.41,1.03,1.80,75,0,1,1,0,0,0,0,0,3,0,1,1,0,0,0,0,1,1,75,100,50,0,0,0,25
