team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Angola National Team,Angola,2019,Angola,3,1,2,0,0,0,0,2,0,2,1,1,0,0.67,0,1,3,0,0,18,1,2,-1,3,1,2,0,1,1,1,-1,0,273,0,180,134,90,180,1,0,1,1,0,1,2,1,1,0,0,0,13,6,7,6,3,3,79,50,107,26,17,9,8,5,3,18,12,6,55,17,38,0,0,0,2,1,1,-2,-1,-1,0,0,0,1,0,1,2,1,1,0.33,0,0.5,1,1,1,0.33,0,0.5,0.67,1,0.5,0.67,1,0.5,0,0,0,0.67,1,0.5,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,3,3,3,3,0,1,1,1,1,1,1,1,2,2,2,2,67,33,0,0,0,0,100,0,0,0,0,0,50,50,0,0,0,0,33,67,100,100,100,100,0,100,100,100,100,100,50,50,100,100,100,100,2,0,0,1,0,0,1,0,0,67,0,0,100,0,0,50,0,0,0,0,0,-75,33,0,50,33,0,50,67,100,50,0,0,0,1,0,1,33,0,50,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,33,0,50,67,100,50,4.33,6.00,3.50,2,3,1.50,67,67,67,33,33,33,0,0,1.46,1.78,1.14,1.50,1.77,1.23,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,67,0,100,33,100,0,0
Tanzania National Team,Tanzania,2019,Tanzania,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,22,2,8,-6,10,3,7,0,2,3,5,-3,-3,134,0,90,34,30,36,0,0,0,1,0,1,2,1,1,1,0,1,8,2,6,6,0,6,42,43,42,21,7,14,8,2,6,13,5,8,53,8,45,2,0,2,5,3,2,-3,-3,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3.33,3,3.5,0.67,0,1,2.67,3,2.5,2.33,3,2,0.67,0,1,1.67,3,1,3,3,2,1,1,0,1,1,1,0,0,0,2,2,1,1,1,0,0,0,1,2,2,3,0,0,0,1,1,1,0,0,1,1,1,2,100,100,67,33,33,0,100,100,100,0,0,0,100,100,50,50,50,0,0,0,33,67,67,100,0,0,0,100,100,100,0,0,50,50,50,100,3,2,2,1,1,1,2,1,1,100,67,67,100,100,100,100,50,50,0,0,0,-56,0,0,0,33,0,50,67,100,50,33,0,50,0,0,0,0,0,0,2,1,1,67,100,50,1,0,1,33,0,50,33,0,50,0,0,0,67,100,50,2.67,2.00,3.00,2,0,3.00,100,100,100,33,0,0,0,0,0.83,0.81,0.84,2.07,1.82,2.20,100,1,0,0,1,0,0,0,0,0,0,0,1,3,1,0,2,1,0,0,0,0,100,100,100,0
Morocco National Team,Morocco,2019,Morocco,4,3,1,0,3,2,1,1,1,0,0,0,0,2.5,2.33,3,1,0,0,5,4,1,3,5,4,1,3,1,1,0,2,1,90,90,90,360,273,0,3,2,1,1,1,0,0,0,0,3,2,1,17,17,0,3,3,0,59,59,58,63,51,12,23,19,4,40,32,8,72,60,12,1,1,0,0,0,0,1,1,0,1,1,0,3,2,1,0,0,0,1.5,1.67,1,1.25,1.33,1,1,1,1,0.25,0.33,0,0.25,0.33,0,0.25,0.33,0,0,0,0,4,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,3,4,4,4,4,0,2,3,3,3,3,0,1,1,1,1,1,100,25,0,0,0,0,100,33,0,0,0,0,100,0,0,0,0,0,0,75,100,100,100,100,0,67,100,100,100,100,0,100,100,100,100,100,1,0,0,1,0,0,0,0,0,25,0,0,33,0,0,0,0,0,75,67,100,-16,75,67,100,25,33,0,0,0,0,75,67,100,4,3,1,100,100,100,3,2,1,75,67,100,0,0,0,0,0,0,25,33,0,75,67,100,0,0,0,4.25,5.67,0.00,0.75,1,0.00,50,50,50,25,25,0,0,0,1.86,2.00,1.42,0.79,0.89,0.50,25,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,25,33,0,0,0,0,0
Egypt National Team,Egypt,2019,Egypt,4,3,1,0,3,2,1,0,0,0,1,1,0,2.25,2,3,1,0,0,6,5,1,4,6,4,2,3,2,1,0,2,2,72,90,45,360,273,0,3,2,1,0,0,0,1,1,0,3,2,1,22,13,9,5,4,1,54,56,49,55,41,14,25,19,6,30,22,8,63,45,18,5,3,2,0,0,0,5,3,2,3,2,1,1,1,0,0,0,0,2.5,2.33,3,1.5,1.33,2,1.25,1,2,0.25,0.33,0,1.25,1,2,1.25,1,2,0,0,0,4,2,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,2,4,4,4,4,0,2,3,3,3,3,0,0,1,1,1,1,100,50,0,0,0,0,100,33,0,0,0,0,100,100,0,0,0,0,0,50,100,100,100,100,0,67,100,100,100,100,0,0,100,100,100,100,3,2,0,2,1,0,1,1,0,75,50,0,67,33,0,100,100,0,75,67,100,-26,75,67,100,0,0,0,25,33,0,75,67,100,4,3,1,100,100,100,1,1,0,25,33,0,0,0,0,0,0,0,75,67,100,25,33,0,0,0,0,5.50,4.33,9.00,1.25,1.33,1.00,75,75,50,25,25,25,25,25,1.64,1.70,1.44,1.57,1.56,1.58,25,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,33,0,25
Tunisia National Team,Tunisia,2019,Tunisia,7,3,4,0,1,0,1,4,2,2,2,1,1,1,0.67,1.25,2,0,0,8,6,5,1,11,5,6,2,4,3,2,-1,2,105,134,90,127,90,180,2,0,2,3,2,1,3,1,2,3,1,2,31,10,21,13,7,6,52,51,54,93,33,60,34,10,24,59,23,36,142,51,91,1,1,0,1,1,0,0,0,0,1,1,0,5,1,4,1,1,0,1.14,1.33,1,1.57,1.67,1.5,0.86,0.67,1,0.71,1,0.5,0.29,0.67,0,0.14,0.33,0,0.14,0.33,0,6,4,1,0,0,0,3,2,0,0,0,0,3,2,1,0,0,0,1,3,6,7,7,7,0,1,3,3,3,3,1,2,3,4,4,4,86,57,14,0,0,0,100,67,0,0,0,0,75,50,25,0,0,0,14,43,86,100,100,100,0,33,100,100,100,100,25,50,75,100,100,100,2,0,0,2,0,0,0,0,0,29,0,0,67,0,0,0,0,0,14,0,25,-32,29,0,50,43,67,25,43,33,50,43,33,50,6,2,4,86,67,100,6,2,4,86,67,100,0,0,0,0,0,0,14,33,0,71,33,100,14,33,0,4.43,3.33,5.25,1.86,2.33,1.50,71,71,56,56,43,28,28,14,1.44,1.17,1.64,1.44,1.20,1.61,29,0,0,0,1,0,2,1,1,1,1,0,0,0,0,1,0,1,1,57,67,50,29,33,25,14
Mauritania National Team,Mauritania,2019,Mauritania,3,2,1,0,0,0,0,2,2,0,1,0,1,0.67,1,0,4,0,0,19,1,4,-3,5,0,5,0,1,0,4,0,-3,273,0,90,68,0,23,2,2,0,1,0,1,2,2,0,0,0,0,16,9,7,6,3,3,64,81,47,16,11,5,6,4,2,10,7,3,55,41,14,0,0,0,2,0,2,-2,0,-2,0,0,0,2,2,0,1,0,1,0.67,1,0,1.67,0,5,0.33,0,1,1.33,0,4,0.67,0,2,0,0,0,0.67,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,2,2,2,3,2,2,2,2,2,2,0,0,0,0,0,1,33,33,33,33,33,0,0,0,0,0,0,0,100,100,100,100,100,0,67,67,67,67,67,100,100,100,100,100,100,100,0,0,0,0,0,100,1,1,0,0,0,0,1,1,0,33,33,0,0,0,0,100,100,0,0,0,0,0,67,100,0,33,0,100,67,100,0,0,0,0,2,2,0,67,100,0,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,67,100,0,33,0,100,5.33,4.50,7.00,2,1.5,3.00,100,100,67,33,33,33,0,0,0.97,1.18,0.75,1.67,1.32,2.02,100,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,67,100,0,33,0,100,0
Namibia National Team,Namibia,2019,Namibia,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,23,1,6,-5,7,5,2,1,0,4,2,-3,-2,273,90,0,45,23,90,0,0,0,1,1,0,2,0,2,0,0,0,7,2,5,5,1,4,47,58,42,21,12,9,7,5,2,14,7,7,51,18,33,0,0,0,1,1,0,-1,-1,0,0,0,0,2,0,2,1,1,0,0.67,0,1,2.33,5,1,0.33,1,0,2,4,1,0.33,1,0,0,0,0,0.33,1,0,3,1,1,1,1,0,1,1,1,1,1,0,2,0,0,0,0,0,0,2,2,2,2,3,0,0,0,0,0,1,0,2,2,2,2,2,100,33,33,33,33,0,100,100,100,100,100,0,100,0,0,0,0,0,0,67,67,67,67,100,0,0,0,0,0,100,0,100,100,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,100,0,0,0,0,0,0,0,0,52,0,0,0,33,100,0,67,0,100,0,0,0,2,0,2,67,0,100,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,67,0,100,33,100,0,2.33,2.00,2.50,1.67,1,2.00,33,33,0,0,0,0,0,0,0.85,1.41,0.58,1.93,1.85,1.98,67,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,3,0,0,0,100,100,100,0
Mali National Team,Mali,2019,Mali,4,2,2,0,2,1,1,1,0,1,1,1,0,1.75,1.5,2,1,0,0,9,6,3,3,9,6,3,4,2,2,1,2,1,60,45,90,120,90,180,1,0,1,2,1,1,1,1,0,3,1,2,25,13,12,7,3,4,53,57,50,62,33,29,25,15,10,37,18,19,72,40,32,3,2,1,0,0,0,3,2,1,2,1,1,2,1,1,0,0,0,2,2,2,2.25,3,1.5,1.5,2,1,0.75,1,0.5,0.75,1,0.5,0.75,1,0.5,0,0,0,4,2,1,1,1,0,2,1,1,1,1,0,2,1,0,0,0,0,0,2,3,3,3,4,0,1,1,1,1,2,0,1,2,2,2,2,100,50,25,25,25,0,100,50,50,50,50,0,100,50,0,0,0,0,0,50,75,75,75,100,0,50,50,50,50,100,0,50,100,100,100,100,2,1,0,1,1,0,1,0,0,50,25,0,50,50,0,50,0,0,50,50,50,0,25,0,50,50,50,50,25,50,0,75,50,100,4,2,2,100,100,100,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,6.25,6.50,6.00,1.75,1.5,2.00,100,100,100,100,75,50,0,0,1.69,1.86,1.52,1.10,0.76,1.45,100,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,1,2,0,25,0,50,25,50,0,0
Madagascar National Team,Madagascar,2019,Madagascar,5,4,1,0,2,2,0,2,1,1,1,1,0,1.6,1.75,1,1,0,0,7,7,7,0,14,10,4,5,2,5,2,0,0,64,72,45,64,72,45,2,2,0,2,1,1,1,1,0,3,3,0,19,16,3,7,4,3,42,43,42,47,40,7,23,19,4,24,21,3,77,64,13,2,2,0,2,1,1,0,1,-1,1,1,0,3,3,0,1,0,1,1.2,1.5,0,2.8,2.5,4,1.4,1.25,2,1.4,1.25,2,0.8,0.75,1,0.4,0.5,0,0.4,0.25,1,5,4,3,2,0,0,4,3,2,1,0,0,1,1,1,1,0,0,0,1,2,3,5,5,0,1,2,3,4,4,0,0,0,0,1,1,100,80,60,40,0,0,100,75,50,25,0,0,100,100,100,100,0,0,0,20,40,60,100,100,0,25,50,75,100,100,0,0,0,0,100,100,3,1,0,2,1,0,1,0,0,60,20,0,50,25,0,100,0,0,40,50,0,0,40,50,0,40,25,100,20,25,0,60,75,0,3,3,0,60,75,0,3,2,1,60,50,100,1,1,0,20,25,0,20,25,0,60,75,0,20,0,100,3.80,4.00,3.00,1.4,1,3.00,80,80,40,40,40,40,40,20,1.14,1.20,0.90,1.73,1.77,1.59,80,1,1,0,0,1,2,0,2,0,0,0,1,1,0,2,1,0,2,40,25,100,20,25,0,20
Zimbabwe National Team,Zimbabwe,2019,Zimbabwe,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,20,1,6,-5,7,4,3,0,1,4,2,-4,-1,273,0,180,45,23,90,0,0,0,1,0,1,2,1,1,0,0,0,14,8,6,2,1,1,52,59,49,36,14,22,11,5,6,25,9,16,49,16,33,1,0,1,4,2,2,-3,-2,-1,0,0,0,1,0,1,2,1,1,0.33,0,0.5,2.33,4,1.5,0.33,0,0.5,2,4,1,1.67,2,1.5,0.33,0,0.5,1.33,2,1,3,2,1,1,0,0,1,1,1,1,0,0,2,1,0,0,0,0,0,1,2,2,3,3,0,0,0,0,1,1,0,1,2,2,2,2,100,67,33,33,0,0,100,100,100,100,0,0,100,50,0,0,0,0,0,33,67,67,100,100,0,0,0,0,100,100,0,50,100,100,100,100,3,2,0,1,1,0,2,1,0,100,67,0,100,100,0,100,50,0,0,0,0,-100,0,0,0,33,0,50,67,100,50,0,0,0,0,0,0,0,0,0,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,33,0,50,67,100,50,4.67,8.00,3.00,0.67,1,0.50,100,100,100,67,33,33,33,33,1.30,1.58,1.16,1.49,1.44,1.51,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,33,0,50,67,100,50,33
Congo DR National Team,Congo DR,2019,Congo DR,4,1,3,0,1,0,1,1,0,1,2,1,1,1,0,1.33,3,0,0,15,6,6,0,12,2,10,0,6,2,4,-2,2,60,0,45,60,45,68,1,0,1,1,0,1,2,1,1,1,0,1,30,5,25,9,2,7,55,54,55,63,10,53,22,4,18,41,6,35,106,22,84,3,0,3,4,1,3,-1,-1,0,1,0,1,1,0,1,2,1,1,1,0,1.33,3,2,3.33,1.5,0,2,1.5,2,1.33,1.75,1,2,0.75,0,1,1,1,1,4,4,2,2,0,0,1,1,0,0,0,0,3,3,2,2,0,0,0,0,2,2,4,4,0,0,1,1,1,1,0,0,1,1,3,3,100,100,50,50,0,0,100,100,0,0,0,0,100,100,67,67,0,0,0,0,50,50,100,100,0,0,100,100,100,100,0,0,33,33,100,100,4,3,0,1,0,0,3,3,0,100,75,0,100,0,0,100,100,0,25,0,33,-67,25,0,33,25,0,33,50,100,33,25,0,33,1,0,1,25,0,33,2,1,1,50,100,33,1,0,1,25,0,33,25,0,33,25,0,33,50,100,33,7.50,5.00,8.33,2.25,2,2.33,100,100,75,75,75,75,75,75,1.75,1.20,1.93,1.47,1.50,1.46,25,1,0,1,1,0,0,1,1,1,1,1,1,0,2,0,0,1,0,25,0,33,50,100,33,50
Benin National Team,Benin,2019,Benin,5,2,3,0,0,0,0,4,2,2,1,0,1,0.8,1,0.67,3,0,0,16,3,4,-1,7,0,7,0,3,0,4,0,-1,150,0,90,113,0,68,2,2,0,2,0,2,3,2,1,2,0,2,20,10,10,15,4,11,44,46,43,59,25,34,17,3,14,42,22,20,100,26,74,1,0,1,2,0,2,-1,0,-1,0,0,0,4,2,2,1,0,1,0.8,1,0.67,1.4,0,2.33,0.6,0,1,0.8,0,1.33,0.6,0,1,0.2,0,0.33,0.4,0,0.67,3,2,1,1,0,0,0,0,0,0,0,0,3,2,1,1,0,0,2,3,4,4,5,5,2,2,2,2,2,2,0,1,2,2,3,3,60,40,20,20,0,0,0,0,0,0,0,0,100,67,33,33,0,0,40,60,80,80,100,100,100,100,100,100,100,100,0,33,67,67,100,100,1,1,1,0,0,0,1,1,1,20,20,20,0,0,0,33,33,33,0,0,0,0,40,100,0,40,0,67,60,100,33,40,0,67,4,2,2,80,100,67,4,2,2,80,100,67,1,0,1,20,0,33,0,0,0,80,100,67,20,0,33,4.00,5.00,3.33,3,2,3.67,80,80,80,20,20,0,0,0,1.21,1.17,1.24,1.61,1.28,1.83,40,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,80,100,67,20,0,33,0
Guinea-Bissau National Team,Guinea-Bissau,2019,Guinea-Bissau,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,21,0,4,-4,4,2,2,0,0,2,2,-2,-2,0,0,0,68,45,90,1,0,1,0,0,0,3,1,2,0,0,0,9,3,6,4,2,2,43,43,43,30,6,24,5,2,3,25,4,21,47,20,27,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,1,1,1.33,2,1,0,0,0,1.33,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,3,3,3,3,0,0,1,1,1,1,1,1,2,2,2,2,67,67,0,0,0,0,100,100,0,0,0,0,50,50,0,0,0,0,33,33,100,100,100,100,0,0,100,100,100,100,50,50,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,33,0,50,0,0,0,100,100,100,0,0,0,3,1,2,100,100,100,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.00,3.00,3.00,1.33,2,1.00,67,67,67,67,33,0,0,0,0.94,0.74,1.04,1.83,1.89,1.81,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,33,0,50,67,100,50,0
Burundi National Team,Burundi,2019,Burundi,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,24,0,4,-4,4,2,2,0,0,2,2,-2,-2,0,0,0,68,45,90,0,0,0,0,0,0,3,1,2,0,0,0,16,5,11,6,4,2,65,0,45,22,0,22,10,0,10,12,0,12,62,16,46,0,0,0,1,1,0,-1,-1,0,0,0,0,2,0,2,1,1,0,0.67,0,1,1.33,2,1,0,0,0,1.33,2,1,0.33,1,0,0,0,0,0.33,1,0,3,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,3,0,0,1,1,1,1,0,2,2,2,2,2,100,33,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,0,67,100,100,100,100,0,0,100,100,100,100,0,100,100,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,100,0,0,0,0,0,0,0,0,-25,0,0,0,0,0,0,100,100,100,0,0,0,2,0,2,67,0,100,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,67,0,100,33,100,0,5.33,5.00,5.50,2,4,1.00,100,100,100,100,67,33,33,0,0.87,0.00,1.37,0.87,0.00,1.37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,100,100,100,0
