season,timestamp,match_datetime,home_team_name,away_team_name,stadium_name,referee,attendance,target_outcome,Away_Team_Pre_Match_xG,Home_Team_Pre_Match_xG,average_corners_per_match_pre_match,away_team_fouls,away_team_possession,away_team_red_cards,away_team_shots,away_team_shots_off_target,away_team_shots_on_target,away_team_yellow_cards,home_team_fouls,home_team_possession,home_team_red_cards,home_team_shots,home_team_shots_off_target,home_team_shots_on_target,home_team_yellow_cards,team_a_xg,team_b_xg
2019,1561996800,2019-07-01 16:00:00,Namibia,Ivory Coast,30 June Air Defence Stadium,,,AWAY_WIN,1.16,0.57,7.5,18,42,0,15,6,9,0,18,58,0,12,7,5,1,1.41,1.85
2019,1562007600,2019-07-01 19:00:00,Kenya,Senegal,30 June Air Defence Stadium,,,AWAY_WIN,1.93,1.12,11.5,12,67,0,14,3,11,1,19,33,1,10,7,3,3,1.0,2.07
2019,1562007600,2019-07-01 19:00:00,Tanzania,Algeria,,,,AWAY_WIN,1.18,0.84,6.5,25,57,0,17,10,7,2,8,43,0,7,5,2,0,0.81,1.82
2019,1562083200,2019-07-02 16:00:00,Guinea-Bissau,Ghana,New Suez Stadium,,,AWAY_WIN,1.21,1.04,7.5,23,57,0,18,12,6,1,20,43,0,6,4,2,2,0.74,1.89
2019,1562083200,2019-07-02 16:00:00,Benin,Cameroon,Ismaïlia Stadium,,,DRAW,1.5,1.64,13.0,24,63,0,12,9,3,3,13,37,0,7,7,0,2,0.64,1.38
2019,1562094000,2019-07-02 19:00:00,Mauritania,Tunisia,New Suez Stadium,,,DRAW,1.17,0.75,8.0,19,62,0,11,7,4,2,18,38,0,11,7,4,2,1.18,1.32
2019,1562094000,2019-07-02 19:00:00,Angola,Mali,Ismaïlia Stadium,,,AWAY_WIN,1.64,1.14,9.0,17,50,0,18,13,5,1,17,50,0,17,12,5,3,1.78,1.77
2019,1562342400,2019-07-05 16:00:00,Morocco,Benin,,,,DRAW,1.31,1.61,8.67,26,40,1,8,3,5,4,16,60,0,23,14,9,2,2.62,1.07
2019,1562353200,2019-07-05 19:00:00,Uganda,Senegal,Cairo International Stadium,,,AWAY_WIN,1.97,1.34,13.67,18,54,0,5,2,3,2,26,46,0,8,4,4,3,1.05,0.8
2019,1562428800,2019-07-06 16:00:00,Nigeria,Cameroon,Alexandria Stadium,,,HOME_WIN,1.46,1.52,13.0,14,61,0,10,7,3,2,17,39,0,16,8,8,1,2.09,1.58
2019,1562439600,2019-07-06 19:00:00,Egypt,South Africa,Cairo International Stadium,,,AWAY_WIN,0.97,1.51,9.33,20,40,0,14,7,7,3,15,60,0,16,11,5,1,2.01,1.78
2019,1562515200,2019-07-07 16:00:00,Madagascar,Congo DR,Alexandria Stadium,,,DRAW,1.5,0.99,10.67,41,54,0,20,11,9,2,17,46,0,17,11,6,1,1.77,2.47
2019,1562526000,2019-07-07 19:00:00,Algeria,Guinea,30 June Air Defence Stadium,,,HOME_WIN,1.53,1.39,8.67,20,49,0,14,11,3,2,16,51,0,11,5,6,1,1.35,1.44
2019,1562601600,2019-07-08 16:00:00,Mali,Ivory Coast,New Suez Stadium,,,AWAY_WIN,1.39,1.69,9.67,29,40,0,5,2,3,1,25,60,0,16,11,5,1,1.69,0.76
2019,1562612400,2019-07-08 19:00:00,Ghana,Tunisia,Ismaïlia Stadium,,,DRAW,1.22,1.44,6.67,29,48,0,14,9,5,2,17,52,0,24,15,9,3,2.69,1.45
2019,1562774400,2019-07-10 16:00:00,Senegal,Benin,30 June Air Defence Stadium,,,HOME_WIN,1.25,1.68,10.0,22,40,1,10,6,4,2,25,60,0,17,12,5,1,1.84,1.06
2019,1562785200,2019-07-10 19:00:00,Nigeria,South Africa,Cairo International Stadium,,,HOME_WIN,1.17,1.66,9.25,19,54,0,7,3,4,4,22,46,0,12,7,5,1,1.42,0.96
2019,1562860800,2019-07-11 16:00:00,Ivory Coast,Algeria,New Suez Stadium,,,DRAW,1.38,1.23,8.0,26,58,0,18,11,7,2,32,42,0,14,5,9,5,1.92,1.97
2019,1562871600,2019-07-11 19:00:00,Madagascar,Tunisia,,,,AWAY_WIN,1.28,1.19,8.0,15,55,0,17,7,10,0,15,45,0,8,5,3,1,0.93,2.04
