season,timestamp,match_datetime,home_team_name,away_team_name,stadium_name,referee,attendance,target_outcome,Away_Team_Pre_Match_xG,Home_Team_Pre_Match_xG,Pre_Match_PPG_(Away),Pre_Match_PPG_(Home),average_cards_per_match_pre_match,average_corners_per_match_pre_match,average_goals_per_match_pre_match,btts_percentage_pre_match,odds_btts_no,odds_btts_yes,odds_ft_away_team_win,odds_ft_draw,odds_ft_home_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,over_05_2HG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match
2019,1561147200,2019-06-21 20:00:00,Egypt,Zimbabwe,Cairo International Stadium,,,HOME_WIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.44,2.6,13.5,6.15,1.21,1.22,1.71,2.8,5.15,0,0,0,0,0,0,0,0
2019,1561213800,2019-06-22 14:30:00,Congo DR,Uganda,Cairo International Stadium,,,AWAY_WIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.51,2.4,3.6,2.95,2.25,1.65,2.95,6.2,12.75,0,0,0,0,0,0,0,0
2019,1561222800,2019-06-22 17:00:00,Nigeria,Burundi,Alexandria Stadium,,,HOME_WIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.43,2.7,10.25,4.4,1.36,1.38,2.2,4.1,8.0,0,0,0,0,0,0,0,0
2019,1561233600,2019-06-22 20:00:00,Guinea,Madagascar,Alexandria Stadium,,,DRAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.56,2.3,5.25,3.25,1.77,1.5,2.5,4.95,10.0,0,0,0,0,0,0,0,0
2019,1561300200,2019-06-23 14:30:00,Morocco,Namibia,,,,HOME_WIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.38,2.85,10.75,5.1,1.29,1.35,2.1,3.8,7.25,0,0,0,0,0,0,0,0
2019,1561309200,2019-06-23 17:00:00,Senegal,Tanzania,30 June Air Defence Stadium,,,HOME_WIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.41,2.75,12.25,4.85,1.29,1.35,2.1,3.8,7.25,0,0,0,0,0,0,0,0
2019,1561320000,2019-06-23 20:00:00,Algeria,Kenya,30 June Air Defence Stadium,,,HOME_WIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.59,2.25,6.0,3.45,1.65,1.44,2.35,4.5,9.0,0,0,0,0,0,0,0,0
2019,1561386600,2019-06-24 14:30:00,Ivory Coast,South Africa,,,,HOME_WIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.67,2.1,3.7,3.1,2.15,1.49,2.5,4.85,9.75,0,0,0,0,0,0,0,0
2019,1561395600,2019-06-24 17:00:00,Tunisia,Angola,New Suez Stadium,,,DRAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.61,2.2,5.05,3.6,1.71,1.44,2.35,4.5,9.0,0,0,0,0,0,0,0,0
2019,1561406400,2019-06-24 20:00:00,Mali,Mauritania,New Suez Stadium,,,HOME_WIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.71,2.05,4.9,3.4,1.77,1.39,2.2,4.15,8.25,0,0,0,0,0,0,0,0
