season,timestamp,match_datetime,home_team_name,away_team_name,stadium_name,referee,attendance,true_outcome,proba_AWAY_WIN,proba_DRAW,proba_HOME_WIN,pred_outcome,risk_score,shap_class_explained,top_factors_text
2023,1706461200,2024-01-28 17:00:00,Equatorial Guinea,Guinea,,,,AWAY_WIN,0.9788784970488199,0.016778899407178777,0.004342603544001233,AWAY_WIN,0.021121502951180093,AWAY_WIN,home_team_shots_on_target=0.0 (pushes toward AWAY_WIN) | home_team_red_cards=1.0 (pushes toward AWAY_WIN) | team_a_xg=0.4 (pushes toward AWAY_WIN) | home_team_yellow_cards=0.0 (pushes away from AWAY_WIN) | home_team_shots_off_target=3.0 (pushes away from AWAY_WIN)
2023,1705867200,2024-01-21 20:00:00,South Africa,Namibia,,,,HOME_WIN,0.0032205628549728956,0.03830724245205788,0.9584721946929693,HOME_WIN,0.04152780530703071,HOME_WIN,home_team_shots_on_target=9.0 (pushes toward HOME_WIN) | away_team_shots_on_target=2.0 (pushes toward HOME_WIN) | home_team_shots_off_target=2.0 (pushes toward HOME_WIN) | away_team_shots=5.0 (pushes toward HOME_WIN) | team_b_xg=0.81 (pushes away from HOME_WIN)
2023,1705176000,2024-01-13 20:00:00,Ivory Coast,Guinea-Bissau,,Amin Omar,,HOME_WIN,0.40503442373508036,0.1893558501367785,0.4056097261281412,HOME_WIN,0.5943902738718587,HOME_WIN,Away_Team_Pre_Match_xG=0.0 (pushes toward HOME_WIN) | home_team_fouls=8.0 (pushes away from HOME_WIN) | away_team_fouls=10.0 (pushes toward HOME_WIN) | average_corners_per_match_pre_match=0.0 (pushes away from HOME_WIN) | home_team_shots_off_target=3.0 (pushes toward HOME_WIN)
2023,1706040000,2024-01-23 20:00:00,Angola,Burkina,Stade de Yamoussoukro,Jean Jacques Ndala Ngambo,,HOME_WIN,0.1836670775126767,0.40262329509812533,0.41370962738919803,HOME_WIN,0.586290372610802,HOME_WIN,away_team_shots=21.0 (pushes away from HOME_WIN) | away_team_fouls=10.0 (pushes toward HOME_WIN) | home_team_shots_off_target=1.0 (pushes toward HOME_WIN) | home_team_yellow_cards=3.0 (pushes away from HOME_WIN) | home_team_shots_on_target=6.0 (pushes toward HOME_WIN)
2023,1705327200,2024-01-15 14:00:00,Senegal,Gambia,Stade de Yamoussoukro,Rédouane Jiyed,,HOME_WIN,0.12459509775216568,0.04701481595796998,0.8283900862898644,HOME_WIN,0.17160991371013556,HOME_WIN,away_team_fouls=8.0 (pushes toward HOME_WIN) | home_team_shots_on_target=7.0 (pushes toward HOME_WIN) | Away_Team_Pre_Match_xG=0.0 (pushes toward HOME_WIN) | average_corners_per_match_pre_match=0.0 (pushes away from HOME_WIN) | away_team_red_cards=1.0 (pushes toward HOME_WIN)
2023,1706547600,2024-01-29 17:00:00,Cape Verde Islands,Mauritania,Stade de l'Amitié,,,HOME_WIN,0.26508217087385355,0.13149696531745836,0.6034208638086881,HOME_WIN,0.3965791361913119,HOME_WIN,away_team_shots_on_target=2.0 (pushes toward HOME_WIN) | away_team_fouls=12.0 (pushes toward HOME_WIN) | home_team_possession=69.0 (pushes away from HOME_WIN) | team_b_xg=0.95 (pushes away from HOME_WIN) | Away_Team_Pre_Match_xG=1.38 (pushes away from HOME_WIN)
